球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
韋斯利-馬修斯,Wesley Matthews,23,後衛,193,100,2009,202萬
特雷-楊,Trae Young,11,後衛-控衛,185,74,2018,4006萬
帕蒂-米爾斯,Patty Mills,8,後衛,185,82,2009,680萬
克林特-卡佩拉,Clint Capela,15,前鋒-中鋒,208,109,2014,2062萬
德章泰-穆雷,Dejounte Murray,5,後衛-分衛,193,82,2016,1821萬
博格丹-博格達諾維奇,Bogdan Bogdanovic,13,前鋒-分衛,198,100,2014,1870萬
薩迪克-貝,Saddiq Bey,41,前鋒-小前鋒,201,98,2020,456萬
德安德烈-亨特,De'Andre Hunter,12,前鋒-小前鋒,203,102,2019,2009萬
奧涅卡-奧孔古,Onyeka Okongwu,17,前鋒-中鋒,203,107,2020,811萬
加里森-馬修斯,Garrison Mathews,25,後衛-分衛,196,98,2019,200萬
AJ-格里芬,AJ Griffin,14,前鋒-小前鋒,198,101,2022,371萬
杰倫-約翰遜,Jalen Johnson,1,前鋒-小前鋒,206,100,2021,293萬
布魯諾-費爾南多,Bruno Fernando,24,前鋒-中鋒,206,109,2019,258萬
特朗-福雷斯特,Trent Forrest,2,後衛-分衛,193,95,2020,51萬
科比-巴夫金,Kobe Bufkin,4,後衛-分衛,193,88,2023,409萬
穆罕默德-蓋耶,Mouhamed Gueye,18,前鋒-大前鋒,211,95,2023,112萬
賽思-倫迪,Seth Lundy,3,前鋒,198,100,2023,56萬
邁爾斯-諾里斯,Miles Norris,0,前鋒,208,100,2023,56萬
