球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
傑夫-格林,Jeff Green,32,前鋒-大前鋒,203,107,2007,960萬
維克托-奧拉迪波,Victor Oladipo,3,後衛,193,97,2013,945萬
弗雷德-範弗利特,Fred VanVleet,5,後衛-控衛,185,89,2016,4081萬
狄龍-布魯克斯,Dillon Brooks,9,前鋒-分衛,201,102,2017,2263萬
雷吉-布洛克,Reggie Bullock Jr.,25,前鋒-小前鋒,198,93,2013,-
杰倫-格林,Jalen Green,4,後衛-分衛,193,81,2021,989萬
阿隆-霍勒迪,Aaron Holiday,0,後衛-控衛,183,84,2018,202萬
傑肖恩-泰特,Jae'Sean Tate,8,後衛-小前鋒,193,104,2020,650萬
阿爾佩倫-申京,Alperen Sengun,28,前鋒-中鋒,206,107,2021,354萬
博班-馬里亞諾維奇,Boban Marjanovic,51,中鋒,221,132,2015,202萬
小賈巴里-史密斯,Jabari Smith Jr.,10,前鋒-大前鋒,208,100,2000,933萬
塔裡-伊森,Tari Eason,17,前鋒,203,98,2022,353萬
喬克-蘭代爾,Jock Landale,2,前鋒-中鋒,211,116,2021,800萬
內特-辛頓,Nate Hinton,14,後衛-分衛,196,95,2020,202萬
阿門-湯普森,Amen Thompson,1,前鋒-小前鋒,201,95,2023,881萬
吉納森-威廉姆斯,Nate Williams,19,後衛-分衛,196,93,2022,-
卡姆-惠特摩爾,Cam Whitmore,7,前鋒-小前鋒,201,105,2023,322萬
傑梅因-薩繆爾斯,Jermaine Samuels  Jr.,00,前鋒-小前鋒,201,104,2022,56萬
