球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
多諾萬-米切爾,Donovan Mitchell,45,後衛-分衛,185,98,2017,3316萬
裡基-盧比奧,Ricky Rubio,13,後衛-控衛,188,86,2009,615萬
特里斯坦-湯普森,Tristan Thompson,12,前鋒-大前鋒,206,115,2011,202萬
卡里斯-勒維爾,Caris LeVert,3,前鋒-分衛,198,93,2016,1538萬
賈勒特-阿倫,Jarrett Allen,31,前鋒-中鋒,211,110,2017,2000萬
達裡厄斯-加蘭,Darius Garland,10,後衛-控衛,185,87,2019,3401萬
喬治-尼昂,Georges Niang,20,前鋒-大前鋒,201,104,2016,880萬
埃文-莫布里,Evan Mobley,4,中鋒-大前鋒,213,98,2021,888萬
馬克斯-斯特魯斯,Max Strus,1,後衛-小前鋒,196,98,2019,1449萬
艾薩克-奧科羅,Isaac Okoro,35,後衛-小前鋒,196,102,2020,892萬
達米安-瓊斯,Damian Jones,30,前鋒-中鋒,211,111,2016,259萬
泰-傑羅姆,Ty Jerome,2,後衛-分衛,196,88,2019,244萬
迪安-韋德,Dean Wade,32,前鋒-大前鋒,206,103,2019,571萬
薩姆-梅里爾,Sam Merrill,5,後衛-分衛,193,93,2020,200萬
以賽亞-莫布利,Isaiah Mobley,15,前鋒-大前鋒,208,109,2022,56萬
小克雷格-波特,Craig Porter,9,後衛-控衛,188,84,2023,56萬
伊莫尼-貝茨,Emoni Bates,21,前鋒-小前鋒,208,77,2023,56萬
