球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
巴迪-希爾德,Buddy Hield,7,後衛-小前鋒,193,100,2016,1928萬
邁爾斯-特納,Myles Turner,33,前鋒-中鋒,211,113,2015,2098萬
TJ-麥康奈爾,TJ McConnell,9,後衛-控衛,185,86,2015,870萬
泰里斯-哈利伯頓,Tyrese Haliburton,0,後衛-控衛,196,84,2020,581萬
布魯斯-布朗,Bruce Brown,11,後衛-控衛,193,92,2018,2200萬
丹尼爾-泰斯,Daniel Theis,27,前鋒-中鋒,203,111,2017,911萬
奧比-託平,Obi Toppin,1,前鋒-大前鋒,206,100,2020,680萬
本內迪克特-馬瑟林,Bennedict Mathurin,00,前鋒-分衛,198,95,2022,692萬
阿龍-內史密斯,Aaron Nesmith,23,後衛-小前鋒,196,98,2020,563萬
杰倫-史密斯,Jalen Smith,25,前鋒-中鋒,208,98,2020,504萬
喬丹-沃拉,Jordan Nwora,13,前鋒-小前鋒,203,102,2020,300萬
安德魯-內姆布哈德,Andrew Nembhard,2,後衛-分衛,196,88,2022,213萬
以賽亞·傑克遜,Isaiah Jackson,22,前鋒-中鋒,208,93,2021,270萬
本-謝潑德,Ben Sheppard,26,前鋒-分衛,198,86,2023,254萬
賈拉斯-沃克,Jarace Walker,5,前鋒-大前鋒,203,109,2023,606萬
肯德爾-布朗,Kendall Brown,10,前鋒,203,93,2022,56萬
以賽亞-王,Isaiah Wong,21,前鋒,193,83,2023,56萬
奧斯卡-希布韋,Oscar Tshiebwe,44,前鋒,206,118,-,56萬
