球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
戈登-海沃德,Gordon Hayward,20,前鋒-小前鋒,201,102,2010,3150萬
特里-羅齊爾,Terry Rozier,3,後衛-分衛,185,86,2015,2321萬
伊什-史密斯,Ish Smith,14,後衛-控衛,183,79,2010,450萬
邁爾斯-布里奇斯,Miles Bridges,0,前鋒,198,102,2018,792萬
PJ-華盛頓,P.J. Washington,25,前鋒-大前鋒,201,104,2019,1685萬
拉梅洛-鮑爾,LaMelo Ball,1,前鋒-控衛,201,82,2020,1090萬
弗朗克-尼利基納,Frank Ntilikina,21,前鋒,193,91,2017,202萬
泰奧-馬勒東,Theo Maledon,9,後衛-控衛,193,79,2020,241萬
科迪-馬丁,Cody Martin,11,後衛-小前鋒,196,93,2019,756萬
尼克-理查茲,Nick Richards,4,中鋒,213,111,2020,500萬
馬克-威廉姆斯,Mark Williams,5,中鋒,216,109,2022,391萬
JT-索爾,JT Thor,21,前鋒-大前鋒,208,93,2021,184萬
詹姆斯-布克奈特,James Bouknight,2,後衛-分衛,196,86,2021,457萬
布萊斯-麥戈文斯,Bryce McGowens,7,前鋒-分衛,201,81,2022,172萬
布蘭登-米勒,Brandon Miller,24,前鋒-小前鋒,206,91,2023,1088萬
小尼克-史密斯,Nick Smith Jr.,8,後衛-分衛,196,84,2023,246萬
阿馬裡-貝利,Amari Bailey,10,前鋒,196,84,2023,56萬
裡基-布萊克,Leaky Black,12,前鋒,206,93,-,56萬
