球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
賽迪斯-楊,Thaddeus Young,21,前鋒-大前鋒,203,107,2007,800萬
丹尼斯-施羅德,Dennis Schroder,17,後衛-控衛,191,78,2013,1241萬
帕斯卡爾-西亞卡姆,Pascal Siakam,43,前鋒-大前鋒,206,104,2016,3789萬
小奧托-波特,Otto Porter Jr.,32,前鋒-小前鋒,203,90,2013,630萬
加萊特-坦普爾,Garrett Temple,14,後衛-分衛,196,88,2009,202萬
OG-阿奴諾比,OG Anunoby,3,前鋒-小前鋒,201,105,2017,1864萬
雅各布-珀爾特爾,Jakob Poeltl,19,中鋒,216,111,2016,1950萬
小加里-特倫特,Gary Trent Jr,33,後衛-分衛,196,95,2018,1856萬
克里斯-布歇,Chris Boucher,25,前鋒-大前鋒,206,91,2017,1175萬
斯科蒂-巴恩斯,Scottie Barnes,4,前鋒-小前鋒,206,103,2021,801萬
杰倫-麥克丹尼爾斯,Jalen McDaniels,2,前鋒-小前鋒,206,93,2019,452萬
普雷舍斯-阿丘瓦,Precious Achiuwa,5,前鋒-中鋒,203,102,2020,438萬
馬拉奇-弗林,Malachi Flynn,22,後衛-控衛,185,79,2020,387萬
克里斯蒂安-科洛科,Christian Koloko,35,中鋒,216,104,2022,172萬
格雷迪-迪克,Gradey Dick,1,前鋒-分衛,203,93,2023,454萬
小羅恩-哈珀,Ron Harper Jr,8,後衛,198,111,2022,56萬
雅翁-弗里曼-利伯蒂,Javon Freeman-Liberty,00,後衛-控衛,-,-,-,56萬
馬奎斯-諾威爾,Markquis Nowell,24,前鋒,173,73,2023,56萬
