球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
謝伊-吉爾傑斯-亞歷山大,Shai Gilgeous-Alexander,2,前鋒-控衛,198,82,2018,3339萬
戴維斯-貝爾坦斯,Davis Bertans,9,前鋒-大前鋒,208,102,2011,1700萬
呂岡茨-多爾特,Luguentz Dort,5,後衛-小前鋒,191,98,2019,1528萬
約什-基迪,Josh Giddey,3,前鋒-大前鋒,203,95,2021,659萬
肯裡奇-威廉姆斯,Kenrich Williams,34,後衛,198,95,2018,618萬
杰倫-威廉姆斯,Jalen Williams,8,前鋒-分衛,198,88,2022,456萬
特里-曼,Tre Mann,23,後衛-控衛,191,81,2021,319萬
以賽亞-喬,Isaiah Joe,11,後衛-分衛,193,75,2020,200萬
阿列克謝-波庫舍夫斯基,Aleksej Pokusevski,17,中鋒-大前鋒,213,86,2020,501萬
亞倫-威金斯,Aaron Wiggins,21,前鋒-分衛,198,91,2021,184萬
林迪-沃特斯三世,Lindy Waters III,12,前鋒-分衛,198,98,2021,56萬
傑林-威廉姆斯,Jaylin Williams,6,前鋒-中鋒,208,109,2022,200萬
奧斯曼-迪昂,Ousmane Dieng,13,前鋒-大前鋒,208,98,2022,480萬
奧利維爾-薩爾,Olivier Sarr,30,中鋒,213,107,2021,56萬
切特-霍姆格倫,Chet Holmgren,7,中鋒-大前鋒,213,88,2022,1039萬
卡森-華萊士,Cason Wallace,22,後衛-分衛,193,88,2023,529萬
瓦西里耶-米齊奇,Vasilije Micic,29,後衛-控衛,196,91,2014,772萬
基翁泰-約翰遜,Keyontae Johnson,18,後衛-小前鋒,196,104,2023,56萬
