球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
加里-哈里斯,Gary Harris,14,後衛-分衛,193,95,2014,1300萬
喬-英格爾斯,Joe Ingles,7,前鋒-小前鋒,203,100,2014,1100萬
小溫德爾-卡特,Wendell Carter Jr.,34,前鋒-中鋒,208,122,2018,1305萬
弗朗茨-瓦格納,Franz Wagner,22,前鋒-小前鋒,206,102,2021,551萬
科爾-安東尼,Cole Anthony,50,後衛-控衛,188,84,2020,554萬
馬克爾-富爾茨,Markelle Fultz,20,後衛-控衛,191,95,2017,1700萬
莫里茲-瓦格納,Moritz Wagner,21,前鋒-中鋒,211,111,2018,800萬
保羅-班切羅,Paolo Banchero,5,前鋒-大前鋒,208,113,2022,1161萬
喬納森-艾薩克,Jonathan Isaac,1,前鋒-大前鋒,211,104,2017,1740萬
杰倫-薩格斯,Jalen Suggs,4,後衛-分衛,193,93,2021,725萬
丘馬-奧基基,Chuma Okeke,3,前鋒-小前鋒,198,104,2019,527萬
戈加-比塔澤,Goga Bitadze,35,前鋒-中鋒,211,113,2019,207萬
阿德米拉爾-斯科菲爾德,Admiral Schofield,25,後衛-大前鋒,196,109,2019,88萬
凱萊布-休斯坦,Caleb Houstan,2,前鋒-小前鋒,203,93,2022,200萬
凱文-哈里斯,Kevon Harris,7,後衛,198,98,2022,56萬
特萊凡林-奎因,Trevelin Queen,12,前鋒,198,86,2021,202萬
安東尼-布萊克,Anthony Black,0,前鋒-控衛,201,90,2023,725萬
杰特-霍華德,Jett Howard,13,前鋒-小前鋒,203,98,2023,503萬
