球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
達米安-利拉德,Damian Lillard,0,後衛-控衛,188,88,2012,4564萬
揚尼斯-阿德託昆博,Giannis Antetokounmpo,34,中鋒-大前鋒,213,110,2013,4564萬
布魯克-洛佩斯,Brook Lopez,11,中鋒,213,128,2008,2500萬
克里斯-米德爾頓,Khris Middleton,22,前鋒-小前鋒,201,101,2012,2932萬
羅賓-洛佩茲,Robin Lopez,42,中鋒,213,127,2008,202萬
賈伊-克勞德,Jae Crowder,99,前鋒-大前鋒,198,107,2012,202萬
鮑比-波蒂斯,Bobby Portis,9,前鋒-大前鋒,208,113,2015,1171萬
馬利克-比斯利,Malik Beasley,5,後衛-分衛,193,85,2016,202萬
帕特-康諾頓,Pat Connaughton,24,後衛-小前鋒,196,95,2015,942萬
卡梅倫-佩恩,Cameron Payne,15,後衛-控衛,185,83,2015,-
薩納西斯-阿德託昆博,Thanasis Antetokounmpo,43,前鋒-大前鋒,198,99,2014,202萬
馬喬恩-比徹姆,MarJon Beauchamp,3,前鋒-小前鋒,198,90,2022,261萬
AJ-格林,AJ Green,20,後衛-分衛,193,91,2022,190萬
泰泰-華盛頓,TyTy Washington Jr.,23,後衛-控衛,191,89,2022,-
林德爾-威金頓,Lindell Wigginton,28,前鋒,188,86,2021,56萬
馬奎斯-博爾登,Marques Bolden,12,前鋒,208,113,2019,202萬
小安德烈-傑克遜,Andre Jackson Jr.,44,前鋒-分衛,198,95,2023,112萬
克里斯-利文斯頓,Chris Livingston,7,前鋒-小前鋒,198,100,2023,112萬
