球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
斯賓瑟-丁威迪,Spencer Dinwiddie,,後衛-控衛,196,98,2014,2036萬
米卡爾-布里奇斯,Mikal Bridges,1,前鋒-分衛,198,95,2018,2170萬
本-西蒙斯,Ben Simmons,10,前鋒-控衛,208,109,2016,3789萬
芬尼-史密斯,Dorian Finney-Smith,28,前鋒-大前鋒,201,100,2016,1393萬
羅伊斯-奧尼爾,Royce O'Neale,00,後衛-小前鋒,193,102,2017,950萬
小丹尼斯-史密斯,Dennis Smith Jr.,4,後衛-控衛,188,93,2017,202萬
朗尼-沃克,Lonnie Walker IV,8,後衛-分衛,193,93,2018,202萬
卡梅倫-約翰遜,Cameron Johnson,2,前鋒-大前鋒,203,95,2019,2568萬
尼古拉斯-克拉克斯頓,Nic Claxton,33,前鋒-中鋒,211,98,2019,963萬
卡梅倫-托馬斯,Cam Thomas,24,後衛-分衛,193,95,2021,224萬
特倫登-沃特福特,Trendon Watford,9,前鋒-大前鋒,206,109,2021,202萬
哈里-賈爾斯,Harry Giles III,14,前鋒,211,109,2017,202萬
阿爾莫尼-布魯克斯,Armoni Brooks,13,後衛-控衛,191,88,2020,56萬
戴羅恩-夏普,Day'Ron Sharpe,20,前鋒-中鋒,211,120,2021,221萬
基恩-約翰遜,Keon Johnson,,前鋒,196,84,2021,-
杰倫-威爾遜,Jalen Wilson,22,前鋒-大前鋒,203,102,2023,56萬
諾阿-克洛尼,Noah Clowney,21,前鋒,208,95,2023,309萬
達裡克-懷特黑德,Dariq Whitehead,0,前鋒,201,100,2023,297萬
