球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
博揚-博格達諾維奇,Bojan Bogdanovic,44,前鋒,201,102,2011,2000萬
亞歷克-伯克斯,Alec Burks,14,前鋒-分衛,198,97,2011,1049萬
喬-哈里斯,Joe Harris,31,前鋒-分衛,198,100,2014,1993萬
蒙特-莫里斯,Monte Morris,5,後衛,188,83,2017,980萬
馬文-巴格利三世,Marvin Bagley III,35,前鋒-中鋒,211,107,2018,1250萬
詹姆斯-懷斯曼,James Wiseman,13,中鋒,213,109,2020,1212萬
基利安-海斯,Killian Hayes,7,後衛-控衛,196,88,2020,741萬
以賽亞-斯圖爾特,Isaiah Stewart,28,前鋒-中鋒,203,113,2020,527萬
凱德-坎寧安,Cade Cunningham,2,前鋒-控衛,198,100,2021,1106萬
以賽亞-利弗斯,Isaiah Livers,12,後衛-小前鋒,201,104,2021,184萬
傑登-艾維,Jaden Ivey,23,後衛-分衛,193,88,2022,761萬
杰倫-杜倫,Jalen Duren,0,前鋒-中鋒,208,113,2022,433萬
賈裡德-羅登,Jared Rhoden,8,前鋒-分衛,198,95,2022,56萬
斯坦利-烏姆德,Stanley Umude,17,前鋒-分衛,198,95,2022,180萬
奧薩爾-湯普森,Ausar Thompson,9,前鋒-小前鋒,201,98,2023,798萬
馬庫斯-薩瑟,Marcus Sasser,25,後衛-控衛,188,88,2023,262萬
馬爾科姆-卡扎隆,Malcolm Cazalon,20,前鋒-分衛,198,96,2023,56萬
