球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
C.J.麥科勒姆,CJ McCollum,3,後衛-分衛,191,86,2013,3580萬
尤納斯-瓦蘭丘納斯,Jonas Valanciunas,17,前鋒-中鋒,211,120,2011,1544萬
布蘭登-英格拉姆,Brandon Ingram,14,前鋒-小前鋒,203,86,2016,3383萬
科迪-澤勒,Cody Zeller,40,前鋒-中鋒,211,109,2013,202萬
小拉里-南斯,Larry Nance Jr.,22,前鋒-中鋒,201,111,2015,1038萬
錫安-威廉森,Zion Williamson,1,前鋒-大前鋒,198,129,2019,3401萬
威利-埃爾南戈麥斯,Willy Hernangomez,9,中鋒,211,113,2015,256萬
特雷-墨菲三世,Trey Murphy III,25,前鋒-小前鋒,206,93,2021,336萬
赫伯特-瓊斯,Herbert Jones,5,前鋒-大前鋒,203,95,2021,1202萬
納吉-馬紹爾,Naji Marshall,8,前鋒-小前鋒,201,100,2020,193萬
約瑟-阿爾瓦拉多,Jose Alvarado,15,後衛-控衛,183,81,2021,184萬
耶利米-羅賓遜-厄爾,Jeremiah Robinson-Earl,,前鋒,206,104,2021,-
小基拉-劉易斯,Kira Lewis Jr.,13,後衛-控衛,185,77,2020,572萬
戴森-丹尼爾斯,Dyson Daniels,11,前鋒-控衛,203,90,2022,578萬
馬特-瑞安,Matt Ryan,37,前鋒-小前鋒,201,98,2021,-
喬丹-霍金斯,Jordan Hawkins,24,後衛-分衛,196,88,2023,431萬
德瑞恩-西伯恩,Dereon Seabron,0,前鋒-分衛,201,82,2022,56萬
EJ-利德爾,EJ Liddell,32,前鋒-大前鋒,201,109,2022,180萬
凱澤-蓋茨,Kaiser Gates,12,前鋒-小前鋒,203,98,2018,-
