球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
邁克-康利,Mike Conley,10,後衛-控衛,185,79,2007,2436萬
卡爾-安東尼-唐斯,Karl-Anthony Towns,32,前鋒-大前鋒,211,112,2015,3602萬
魯迪-戈貝爾,Rudy Gobert,27,中鋒,216,117,2013,4100萬
安東尼-愛德華茲,Anthony Edwards,5,後衛-分衛,193,102,2020,1353萬
凱爾-安德森,Kyle Anderson,1,前鋒-大前鋒,206,104,2014,922萬
納茲-裡德,Naz Reid,11,前鋒-中鋒,206,120,2019,1295萬
謝克-米爾頓,Shake Milton,18,後衛-分衛,196,93,2018,500萬
傑登-麥克丹尼爾斯,Jaden McDaniels,3,前鋒-小前鋒,206,84,2020,390萬
特洛伊-布朗,Troy Brown Jr.,23,前鋒-小前鋒,198,98,2018,400萬
尼基爾-亞歷山大-沃克,Nickeil Alexander-Walker,9,前鋒-分衛,198,93,2019,469萬
喬丹-麥克勞克林,Jordan McLaughlin,6,後衛-控衛,180,84,2019,232萬
盧卡-加爾薩,Luka Garza,55,前鋒-中鋒,211,107,2021,56萬
戴申-尼克斯,Daishen Nix,12,後衛-控衛,196,102,2021,202萬
約什-米諾特,Josh Minott,8,前鋒-小前鋒,203,93,2022,172萬
小溫德爾-摩爾,Wendell Moore Jr.,7,後衛,196,97,2022,242萬
倫納德-米勒,Leonard Miller,33,前鋒-小前鋒,208,95,2023,180萬
杰倫-克拉克,Jaylen Clark,0,前鋒,196,93,2023,56萬
