球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
德里克-羅斯,Derrick Rose,23,後衛-控衛,191,91,2008,320萬
史蒂文-亞當斯,Steven Adams,4,中鋒,211,120,2013,1260萬
馬庫斯-斯馬特,Marcus Smart,36,後衛-控衛,191,100,2014,1883萬
賈-莫蘭特,Ja Morant,12,後衛-控衛,191,79,2019,3401萬
小賈倫-傑克遜,Jaren Jackson Jr,13,前鋒-中鋒,211,110,2018,2710萬
俾斯麥-比永博,Bismack Biyombo,18,前鋒-中鋒,203,116,2011,500萬
盧克-肯納德,Luke Kennard,10,後衛-分衛,196,93,2017,1476萬
德斯蒙德-貝恩,Desmond Bane,22,後衛-分衛,196,98,2020,385萬
布蘭登-克拉克,Brandon Clarke,15,前鋒-大前鋒,203,98,2019,1250萬
澤維爾-蒂爾曼,Xavier Tillman,2,前鋒-中鋒,203,111,2020,193萬
約翰-康查爾,John Konchar,46,後衛-小前鋒,196,95,2019,240萬
桑蒂-阿爾達瑪,Santi Aldama,7,前鋒-大前鋒,211,102,2021,219萬
宰伊爾-威廉姆斯,Ziaire Williams,8,前鋒-小前鋒,203,98,2021,481萬
大衛-羅迪,David Roddy,21,前鋒-大前鋒,198,116,2022,272萬
小肯尼思-洛夫頓,Kenneth Lofton Jr.,6,前鋒-大前鋒,201,125,2022,172萬
傑克-拉拉維亞,Jake LaRavia,3,前鋒-大前鋒,203,107,2022,320萬
文斯-威廉姆斯,Vince Williams Jr.,5,前鋒-分衛,198,93,2022,56萬
雅各布-吉爾亞德,Jacob Gilyard,0,後衛-控衛,175,73,2022,56萬
GG-傑克遜,G.G. Jackson,45,前鋒,203,98,2023,-
