球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
哈里森-巴恩斯,Harrison Barnes,40,前鋒-大前鋒,203,102,2012,1700萬
德阿龍-福克斯,De'Aaron Fox,5,後衛-控衛,191,84,2017,3260萬
多曼塔斯-薩博尼斯,Domantas Sabonis,10,前鋒-中鋒,211,109,2016,3060萬
賈維爾-麥基,JaVale McGee,00,中鋒,213,122,2008,202萬
亞歷克斯-萊恩,Alex Len,25,中鋒,213,113,2013,202萬
凱文-赫爾特,Kevin Huerter,9,前鋒-分衛,201,86,2018,1567萬
馬利克-蒙克,Malik Monk,0,後衛-分衛,191,91,2017,995萬
特雷-萊爾斯,Trey Lyles,41,前鋒-大前鋒,206,106,2015,800萬
戴維恩-米切爾,Davion Mitchell,15,後衛-控衛,188,93,2021,506萬
克里斯-杜阿爾特,Chris Duarte,3,前鋒-小前鋒,198,86,2021,412萬
基根-默裡,Keegan Murray,13,前鋒-小前鋒,203,98,2022,841萬
凱斯勒-愛德華茲,Kessler Edwards,17,前鋒-小前鋒,203,98,2021,193萬
基恩-埃利斯,Keon Ellis,23,前鋒-分衛,198,79,2022,56萬
薩沙-維琴科夫,Sasha Vezenkov,7,前鋒-大前鋒,206,102,2017,634萬
科爾比-瓊斯,Colby Jones,20,前鋒-分衛,198,93,2023,202萬
喬丹-福特,Jordan Ford,31,後衛-控衛,185,79,2020,-
菲利普-彼得魯舍夫,Filip Petrusev,33,前鋒,211,106,2021,112萬
杰倫-斯勞森,Jalen Slawson,18,前鋒,201,98,2023,56萬
