球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
朱-霍勒迪,Jrue Holiday,4,後衛-控衛,193,93,2009,3686萬
艾爾-霍福德,Al Horford,42,前鋒-中鋒,206,109,2007,1000萬
傑森-塔圖姆,Jayson Tatum,0,前鋒-小前鋒,203,95,2017,3260萬
杰倫-布朗,Jaylen Brown,7,前鋒-小前鋒,198,101,2016,3183萬
克里斯塔普斯-波爾津吉斯,Kristaps Porzingis,8,中鋒-大前鋒,221,109,2015,3602萬
德里克-懷特,Derrick White,9,後衛-分衛,193,86,2017,1836萬
斯維亞託斯拉夫-米哈伊柳克,Svi Mykhailiuk,50,前鋒-小前鋒,201,93,2018,202萬
奧謝-布里塞特,Oshae Brissett,12,前鋒-小前鋒,201,95,2019,217萬
佩頓-普里查德,Payton Pritchard,11,後衛-控衛,185,88,2020,404萬
盧克-科內特,Luke Kornet,40,中鋒,218,113,2017,241萬
拉馬爾-史蒂文斯,Lamar Stevens,77,前鋒-大前鋒,198,104,2020,-
山姆-豪瑟,Sam Hauser,30,前鋒-小前鋒,203,98,2021,193萬
納坦-奈特,Nathan Knight,1,前鋒,208,115,2020,-
達拉諾-班頓,Dalano Banton,45,前鋒-控衛,206,93,2021,202萬
內米亞斯-克塔,Neemias Queta,88,前鋒,213,111,2021,25萬
JD-戴維森,JD Davison,20,後衛,191,88,2022,56萬
喬丹-沃爾什,Jordan Walsh,27,前鋒,201,93,2023,112萬
