球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
傑拉米-格蘭特,Jerami Grant,9,前鋒-大前鋒,203,95,2014,2759萬
杜普-雷亞斯,Duop Reath,26,前鋒,210,108,2022,-
馬爾科姆-布羅格登,Malcolm Brogdon,11,後衛-控衛,196,104,2016,2250萬
德安德烈-艾頓,DeAndre Ayton,2,前鋒-中鋒,211,113,2018,3246萬
安芬尼-西蒙斯,Anfernee Simons,1,後衛-分衛,191,82,2018,2411萬
羅伯特-威廉姆斯,Robert Williams III,35,前鋒-中鋒,206,107,2018,1157萬
馬蒂斯-賽布林,Matisse Thybulle,4,後衛-分衛,196,91,2019,1050萬
謝登-夏普,Shaedon Sharpe,17,前鋒-分衛,198,91,2022,631萬
摩西-布朗,Moses Brown,0,前鋒,218,111,2019,217萬
伊什-韋恩萊特,Ish Wainright,12,前鋒,198,113,2021,193萬
斯蓋拉-梅斯,Skylar Mays,5,後衛-控衛,193,93,2020,-
賈巴里-沃克,Jabari Walker,34,前鋒-小前鋒,206,98,2022,172萬
圖馬尼-卡馬拉,Toumani Camara,33,前鋒-大前鋒,203,100,2023,112萬
斯庫特-亨德森,Scoot Henderson,00,後衛-控衛,191,92,2023,977萬
克里斯-默裡,Kris Murray,8,前鋒-小前鋒,203,100,2023,285萬
拉揚-呂佩爾,Rayan Rupert,72,前鋒-分衛,198,93,2023,112萬
賈斯汀-米納亞,Justin Minaya,35,前鋒,196,95,2022,180萬
