球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
詹姆斯-哈登,James Harden,1,後衛-分衛,196,100,2009,3564萬
拉塞爾-威斯布魯克,Russell Westbrook,0,後衛-控衛,191,91,2008,384萬
保羅-喬治,Paul George,13,前鋒-小前鋒,203,100,2010,4564萬
科懷-倫納德,Kawhi Leonard,2,前鋒-小前鋒,201,102,2011,4564萬
尼古拉斯-巴圖姆,Nicolas Batum,40,前鋒-小前鋒,203,104,2008,1171萬
羅伯特-考文頓,Robert Covington,33,前鋒-小前鋒,201,95,2013,1169萬
梅森-普拉姆利,Mason Plumlee,44,前鋒-中鋒,211,115,2013,500萬
諾曼-鮑威爾,Norman Powell,24,後衛-分衛,191,98,2015,1800萬
PJ-塔克,P.J. Tucker,17,後衛-小前鋒,196,111,2006,1101萬
伊維查-祖巴茨,Ivica Zubac,40,中鋒,213,109,2016,1093萬
特倫斯-曼,Terance Mann,14,後衛,196,98,2019,1058萬
小肯揚-馬丁,KJ Martin,1,前鋒-小前鋒,198,98,2020,193萬
博恩斯-海蘭,Bones Hyland,5,後衛-控衛,191,78,2021,231萬
阿米爾-科菲,Amir Coffey,7,前鋒-小前鋒,201,95,2019,367萬
布蘭登-波士頓,Brandon Boston Jr.,4,前鋒-分衛,201,84,2021,184萬
約什-普里莫,Joshua Primo,12,前鋒,198,86,2021,-
穆薩-迪亞巴特,Moussa Diabate,25,中鋒,210,95,2022,56萬
科比-布朗,Kobe Brown,21,前鋒-大前鋒,201,113,2023,241萬
喬丹-米勒,Jordan Miller,11,前鋒-小前鋒,201,88,2023,56萬
