球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
勒布朗-詹姆斯,LeBron James,6,前鋒-大前鋒,206,113,2003,4761萬
安東尼-戴維斯,Anthony Davis,3,前鋒-中鋒,208,115,2012,4060萬
丹吉洛-拉塞爾,D'Angelo Russell,1,後衛-控衛,193,88,2015,1731萬
托里恩-普林斯,Taurean Prince,12,前鋒-大前鋒,201,99,2016,452萬
克里斯蒂安-伍德,Christian Wood,35,前鋒-大前鋒,208,97,2015,271萬
八村塁,Rui Hachimura,28,前鋒-大前鋒,203,104,2019,1574萬
卡姆-雷迪什,Cam Reddish,5,前鋒-小前鋒,203,99,2019,217萬
賈克森-海斯,Jaxson Hayes,11,前鋒-中鋒,211,100,2019,217萬
加布-文森特,Gabe Vincent,7,後衛-控衛,191,88,2019,1050萬
賈裡德-範德比爾特,Jarred Vanderbilt,2,前鋒,206,97,2018,470萬
奧斯汀-裡夫斯,Austin Reaves,15,後衛-分衛,196,93,2021,1202萬
馬克斯-克里斯蒂,Max Christie,10,前鋒-分衛,198,86,2022,172萬
科林-卡斯爾頓,Colin Castleton,14,前鋒-中鋒,211,113,2023,56萬
迪莫伊-霍奇,D'Moi Hodge,55,後衛-分衛,193,85,2023,56萬
馬克斯韋爾-劉易斯,Maxwell Lewis,21,前鋒-小前鋒,201,88,2023,112萬
亞歷克斯-富奇,Alex Fudge,17,前鋒-小前鋒,203,91,2023,56萬
杰倫-胡德-席菲諾,Jalen Hood-Schifino,0,前鋒,198,98,2023,370萬
