球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
朱利葉斯-蘭德爾,Julius Randle,30,前鋒-大前鋒,203,113,2014,2823萬
埃文-富尼耶,Evan Fournier,13,前鋒,201,93,2012,1886萬
杰倫-布倫森,Jalen Brunson,11,後衛-控衛,188,86,2018,2635萬
RJ-巴雷特,RJ Barrett,9,前鋒-分衛,198,97,2019,2388萬
約什-哈特,Josh Hart,3,後衛-小前鋒,196,98,2017,1296萬
伊曼紐爾-奎克利,Immanuel Quickley,5,後衛-分衛,191,86,2020,417萬
丹特-迪溫琴佐,Donte DiVincenzo,0,後衛-分衛,193,92,2018,1090萬
米切爾-羅賓遜,Mitchell Robinson,23,中鋒,213,109,2018,1568萬
以賽亞-哈爾滕施泰因,Isaiah Hartenstein,55,中鋒,213,113,2017,925萬
昆汀-格蘭姆斯,Quentin Grimes,6,後衛-分衛,196,93,2021,239萬
裡安-阿爾奇迪亞科諾,Ryan Arcidiacono,51,後衛-控衛,191,88,2017,202萬
小杜安-華盛頓,Duane Washington Jr,4,前鋒,191,95,2021,202萬
邁爾斯-麥克布賴德,Miles McBride,2,後衛-控衛,188,91,2021,184萬
迪倫-溫德勒,Dylan Windler,20,前鋒-小前鋒,198,89,2019,56萬
傑里科-西姆斯,Jericho Sims,45,前鋒-中鋒,208,111,2021,193萬
達坎-傑弗里斯,DaQuan Jeffries,8,後衛-分衛,196,104,2019,207萬
小查理-布朗,Charlie Brown Jr.,16,前鋒,198,90,2019,202萬
雅各布-託平,Jacob Toppin,00,前鋒,206,93,2023,112萬
