球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
德瑪爾-德羅贊,DeMar DeRozan,11,前鋒-小前鋒,198,100,2009,2860萬
尼古拉-武切維奇,Nikola Vucevic,9,前鋒-中鋒,208,118,2011,1852萬
扎克-拉文,Zach LaVine,8,後衛-分衛,196,91,2014,4006萬
安德烈-德拉蒙德,Andre Drummond,3,前鋒-中鋒,208,127,2012,336萬
科比-懷特,Coby White,0,後衛-分衛,196,88,2019,1111萬
郎佐-鮑爾,Lonzo Ball,2,後衛-控衛,198,86,2017,2047萬
託雷-克雷格,Torrey Craig,13,前鋒-小前鋒,201,100,2017,253萬
阿列克斯-卡魯索,Alex Caruso,6,後衛-控衛,193,84,2017,946萬
傑文-卡特,Jevon Carter,5,後衛-控衛,185,91,2018,619萬
帕特里克-威廉姆斯,Patrick Williams,44,前鋒-大前鋒,201,98,2020,984萬
阿約-多森姆,Ayo Dosunmu,12,後衛-分衛,196,91,2021,648萬
特里-泰勒,Terry Taylor,32,後衛-大前鋒,196,104,2021,202萬
達倫-特里,Dalen Terry,25,前鋒-分衛,201,88,2022,335萬
朱利安-菲利普斯,Julian Phillips,15,前鋒-小前鋒,203,90,2023,160萬
奧努拉爾普-比蒂姆,Onuralp Bitim,17,前鋒-分衛,198,98,2023,56萬
賈斯汀-劉易斯,Justin Lewis,34,前鋒,201,111,2022,10萬
阿達馬-薩諾戈,Adama Sanogo,21,前鋒,206,111,2023,56萬
