球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
達尼羅-加里納利,Danilo Gallinari,88,前鋒-小前鋒,208,106,2008,680萬
凱爾-庫茲馬,Kyle Kuzma,33,前鋒-大前鋒,206,100,2017,2557萬
喬丹-普爾,Jordan Poole,13,後衛-分衛,193,88,2019,2746萬
泰厄斯-瓊斯,Tyus Jones,5,後衛-控衛,183,89,2015,1400萬
德朗-賴特,Delon Wright,55,後衛-控衛,196,84,2015,820萬
邁克-穆斯卡拉,Mike Muscala,35,前鋒-中鋒,208,109,2013,350萬
蘭德里-沙梅特,Landry Shamet,20,後衛-分衛,193,86,2018,1025萬
丹尼爾-加福德,Daniel Gafford,21,前鋒-中鋒,208,106,2019,1240萬
德尼-阿夫迪亞,Deni Avdija,8,前鋒-小前鋒,206,95,2020,626萬
科裡-基斯珀特,Corey Kispert,24,前鋒-小前鋒,201,100,2021,372萬
安東尼-吉爾,Anthony Gill,16,前鋒-大前鋒,201,104,2020,200萬
尤金-奧莫魯伊,Eugene Omoruyi,97,前鋒-小前鋒,201,111,2021,56萬
賈裡德-巴特勒,Jared Butler,4,後衛-分衛,191,88,2021,56萬
約翰尼-戴維斯,Johnny Davis,1,後衛-分衛,196,89,2022,505萬
小帕特里克-鮑德溫,Patrick Baldwin Jr.,7,前鋒-小前鋒,206,100,2022,234萬
萊恩-羅林斯,Ryan Rollins,9,後衛-控衛,193,82,2022,172萬
比拉爾-庫利巴利,Bilal Coulibaly,0,前鋒-小前鋒,198,88,2023,661萬
小約翰-巴特勒,John Butler Jr.,19,前鋒,216,79,2022,-
