球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
託拜亞斯-哈里斯,Tobias Harris,12,前鋒-小前鋒,203,102,2011,3927萬
喬爾-恩比德,Joel Embiid,21,中鋒,213,127,2014,4761萬
尼古拉斯-巴圖姆,Nicolas Batum,40,前鋒-小前鋒,203,104,2008,1171萬
馬庫斯-莫里斯,Marcus Morris Sr.,5,前鋒-大前鋒,203,99,2011,1712萬
丹尼-格林,Danny Green,14,前鋒-分衛,198,98,2009,20萬
凱利-烏佈雷,Kelly Oubre Jr.,9,前鋒-小前鋒,201,92,2015,202萬
羅伯特-考文頓,Robert Covington,33,前鋒-小前鋒,201,95,2013,1169萬
PJ-塔克,P.J. Tucker,17,後衛-小前鋒,196,111,2006,1101萬
帕特里克-貝弗利,Patrick Beverley,22,後衛-控衛,185,82,2009,202萬
泰瑞斯-馬克西,Tyrese Maxey,0,後衛-分衛,188,91,2020,434萬
丹東尼-梅爾頓,De'Anthony Melton,8,後衛-分衛,188,91,2018,800萬
福爾康-科爾克馬茲,Furkan Korkmaz,30,前鋒-分衛,201,92,2016,537萬
小肯揚-馬丁,KJ Martin,1,前鋒-小前鋒,198,98,2020,193萬
穆罕默德-班巴,Mo Bamba,7,中鋒,213,105,2018,202萬
丹紐爾-豪斯,Danuel House Jr.,25,前鋒-小前鋒,198,100,2016,431萬
保羅-裡德,Paul Reed,44,前鋒-中鋒,206,95,2020,772萬
賈登-斯普林格,Jaden Springer,11,後衛-分衛,193,93,2021,223萬
賈文特-斯馬特,Javonte Smart,39,前鋒,193,93,2021,-
菲利普-彼得魯舍夫,Filip Petrusev,33,前鋒,211,106,2021,112萬
特奎維翁-史密斯,Terquavion Smith,23,前鋒,193,75,2023,56萬
裡奇-康西爾四世,Ricky Council IV,16,前鋒,198,93,2023,-
