球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
凱里-歐文,Kyrie Irving,11,後衛-分衛,188,88,2011,3704萬
盧卡-東契奇,Luka Doncic,77,前鋒-控衛,201,104,2018,4006萬
小蒂姆-哈達威,Tim Hardaway Jr,10,後衛-小前鋒,196,93,2013,1790萬
馬基夫-莫里斯,Markieff Morris,13,前鋒,206,111,2011,202萬
塞斯-庫裡,Seth Curry,30,後衛-分衛,188,84,2013,400萬
德懷特-鮑威爾,Dwight Powell,7,前鋒-中鋒,208,109,2014,400萬
裡喬恩-霍姆斯,Richaun Holmes,20,前鋒,208,107,2015,1205萬
馬克西-克勒貝爾,Maxi Kleber,42,前鋒-大前鋒,208,109,2017,1100萬
小德里克-瓊斯,Derrick Jones Jr.,55,後衛-小前鋒,196,95,2016,202萬
格蘭特-威廉姆斯,Grant Williams,3,前鋒-大前鋒,198,107,2019,1241萬
丹特-埃克薩姆,Dante Exum,0,後衛-控衛,196,97,2014,300萬
約什-格林,Josh Green,8,後衛-分衛,196,91,2020,477萬
傑登-哈迪,Jaden Hardy,1,後衛-分衛,193,90,2022,172萬
格雷格-布朗,Greg Brown III,28,前鋒,206,93,2021,202萬
德里克-萊夫利二世,Dereck Lively II,2,中鋒,216,104,2023,478萬
A·J·勞森,AJ Lawson,9,後衛,198,81,2021,56萬
奧利維耶·馬克桑斯-普羅斯珀,Olivier-Maxence Prosper,18,前鋒-大前鋒,203,104,2023,273萬
德克斯特-丹尼斯,Dexter Dennis,38,前鋒,196,95,2023,-
