球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
凱爾-洛瑞,Kyle Lowry,7,後衛-控衛,183,89,2006,2968萬
凱文-樂福,Kevin Love,42,前鋒-大前鋒,203,114,2008,384萬
吉米-巴特勒,Jimmy Butler,22,前鋒-大前鋒,201,104,2011,4518萬
巴姆-阿德巴約,Bam Adebayo,13,前鋒-中鋒,206,116,2017,3260萬
約什-理查德森,Josh Richardson,0,後衛-分衛,196,91,2015,289萬
泰勒-希羅,Tyler Herro,14,後衛-分衛,196,88,2019,2700萬
鄧肯-羅賓遜,Duncan Robinson,55,前鋒-小前鋒,201,98,2018,1815萬
托馬斯-布萊恩特,Thomas Bryant,31,前鋒-中鋒,208,112,2017,253萬
凱萊布-馬丁,Caleb Martin,16,後衛-小前鋒,196,93,2019,680萬
RJ-漢普頓,R.J. Hampton,4,後衛-控衛,193,79,2020,-
海伍德-海史密斯,Haywood Highsmith,24,前鋒-大前鋒,201,100,2018,190萬
奧蘭多-羅賓遜,Orlando Robinson,25,中鋒,213,107,2022,180萬
賈馬爾-凱恩,Jamal Cain,8,前鋒-大前鋒,201,87,2022,56萬
尼古拉-約維奇,Nikola Jovic,5,前鋒-大前鋒,208,95,2022,235萬
德魯-史密斯,Dru Smith,9,後衛-分衛,191,92,2022,102萬
小海梅-哈克斯,Jaime Jaquez Jr.,11,前鋒-小前鋒,201,102,2023,351萬
科爾-斯威德,Cole Swider,21,前鋒-小前鋒,206,100,2022,180萬
