球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
斯蒂芬-庫裡,Stephen Curry,30,後衛-控衛,188,84,2009,5192萬
克里斯-保羅,Chris Paul,3,後衛-控衛,183,79,2005,3080萬
克萊-湯普森,Klay Thompson,11,前鋒-小前鋒,198,98,2011,4322萬
安德魯-維金斯,Andrew Wiggins,22,前鋒-小前鋒,201,89,2014,2433萬
德雷蒙德-格林,Draymond Green,23,前鋒-大前鋒,198,104,2012,2232萬
科裡-約瑟夫,Cory Joseph,1,後衛-控衛,191,91,2011,202萬
達里奧-沙裡奇,Dario Saric,20,前鋒-大前鋒,208,102,2014,202萬
凱文-盧尼,Kevon Looney,5,前鋒-中鋒,206,101,2015,750萬
喬納森-庫明加,Jonathan Kuminga,00,前鋒-大前鋒,203,95,2021,601萬
加里-佩頓二世,Gary Payton II,8,後衛-分衛,191,86,2016,872萬
摩西-穆迪,Moses Moody,4,前鋒-分衛,198,93,2021,392萬
傑羅米-羅賓遜,Jerome Robinson,18,後衛-分衛,193,86,2018,-
烏斯曼-加魯巴,Usman Garuba,12,前鋒,203,100,2021,-
特雷斯·傑克遜-戴維斯,Trayce Jackson-Davis,32,前鋒-大前鋒,206,111,2023,112萬
萊斯特-基諾內斯,Lester Quinones,25,後衛-分衛,196,94,2022,56萬
布蘭丁-波傑姆斯基,Brandin Podziemski,2,後衛-分衛,196,93,2023,335萬
