球員中文名,英文名,Number,Position,Height,Weight,選秀,Salary
凱文-杜蘭特,Kevin Durant,35,前鋒-大前鋒,208,109,2007,4765萬
布拉德利-比爾,Bradley Beal,3,後衛,193,94,2012,4674萬
埃裡克-戈登,Eric Gordon,23,後衛-分衛,191,98,2008,320萬
德文-布克,Devin Booker,1,後衛-分衛,196,93,2015,3602萬
尤素夫-努爾基奇,Jusuf Nurkic,20,前鋒-中鋒,211,132,2014,1688萬
格雷森-艾倫,Grayson Allen,8,後衛-分衛,193,90,2018,893萬
達米恩-李,Damion Lee,10,後衛-分衛,196,95,2017,253萬
約什-奧科吉,Josh Okogie,2,後衛-分衛,193,97,2018,282萬
德魯-尤班克斯,Drew Eubanks,14,前鋒-中鋒,206,111,2018,235萬
凱塔-貝茨-迪奧普,Keita Bates-Diop,21,前鋒-小前鋒,203,104,2018,235萬
奇梅齊耶-梅圖,Chimezie Metu,4,前鋒-中鋒,206,102,2018,202萬
納西爾-利特爾,Nassir Little,25,後衛-大前鋒,196,100,2019,625萬
渡邊雄太,Yuta Watanabe,18,前鋒-小前鋒,206,98,2018,235萬
波爾-波爾,Bol Bol,11,中鋒-大前鋒,218,100,2019,202萬
薩本-李,Saben Lee,38,後衛-控衛,188,83,2020,56萬
喬丹-古德溫,Jordan Goodwin,0,後衛-控衛,191,91,2021,193萬
烏多卡-阿祖布克,Udoka Azubuike,27,前鋒-中鋒,208,127,2020,56萬
